title,authors,link
"SFVInt: Simple, Fast and Generic Variable-Length Integer Decoding using Bit Manipulation Instructions",Gang Liao (University of Maryland); Ye Liu (Bytedance); Yonghua Ding (Bytedance); Le Cai (Bytedance); Jianjun Chen (Bytedance),https://dl.acm.org/doi/10.1145/3662010.3663439
The Price of Privacy: A Performance Study of Confidential Virtual Machines for Database Systems,Lina Qiu (Boston University); Rebecca Taft (Cockroach Labs); Alexander Shraer (Cockroach Labs); George Kollios (Boston University),https://dl.acm.org/doi/10.1145/3662010.3663440
Heterogeneous Intra-Pipeline Device-Parallel Aggregations,Artem Kroviakov (TU Munich); Petr Kurapov (Intel); Christoph Anneser (TU Munich); Jana Giceva (TU Munich),https://dl.acm.org/doi/10.1145/3662010.3663441
"Simple, Efficient, and Robust Hash Tables for Join Processing",Altan Birler (TU Munich); Tobias Schmidt (TU Munich); Philipp Fent (CedarDB); Thomas Neumann (TU Munich),https://dl.acm.org/doi/10.1145/3662010.3663442
How Does Software Prefetching Work on GPU Query Processing?,Yangshen Deng (Southern University of Science and Technology); Shiwen Chen (Southern University of Science and Technology); Zhaoyang Hong (Southern University of Science and Technology); Bo Tang  (Southern University of Science and Technology),https://dl.acm.org/doi/10.1145/3662010.3663445
Efficient Data Access Paths for Mixed Vector-Relational Search,Viktor Sanca (EPFL); Anastasia Ailamaki (EPFL),https://dl.acm.org/doi/10.1145/3662010.3663448
So Far and yet so Near - Accelerating Distributed Joins with CXL,Alexander Baumstark (TU Ilmenau); Marcus Paradies (TU Ilmenau); Kai-Uwe Sattler (TU Ilmenau); Steffen Kläbe (Actian); Stephan Baumann (Actian),https://dl.acm.org/doi/10.1145/3662010.3663449
Accelerating GPU Data Processing using FastLanes Compression,Azim Afroozeh (CWI); Charlotte C Felius (CWI); Peter Boncz (CWI),https://dl.acm.org/doi/10.1145/3662010.3663450
How to Be Fast and Not Furious: Looking Under the Hood of CPU Cache Prefetching,Roland Kühn (TU Dortmund); Jan Mühlig (TU Dortmund); Jens Teubner (TU Dortmund),https://dl.acm.org/doi/10.1145/3662010.3663451
NULLS!: Revisiting Null Representation in Modern Columnar Formats,Xinyu Zeng (Tsinghua University); Ruijun Meng (Tsinghua University); Andrew Pavlo (Carnegie Mellon University); Wes McKinney (Posit PBC); Huanchen Zhang (Tsinghua University),https://dl.acm.org/doi/10.1145/3662010.3663452
